Name;EDoID;isED;Age;Gender;isM;Nationality;Current_Com_Roles;Historical_Com_Roles;Number_Committees;Recent_Compensation;Recent_Comp_Mil;Recent_Comp_Thous;Company;Sector;Industry
Dawn E Hudson;ID;0;57;F;0;American;3;12;4;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Professor, Dr Trevor Mervyn Jones;ID;0;71;M;1;American;5;14;8;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Louis (Lou) James Lavigne Jr;ID;0;66;M;1;American;4;19;8;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Doctor Peter J McDonnell;ID;0;56;M;1;;2;2;1;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Timothy (Tim) D Proctor;ID;0;64;M;1;American;2;3;1;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Russell (Russ) T Ray;ID;0;66;M;1;American;2;3;8;344;0,344;344;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Doctor Stephen (Steve) J Ryan;ID;0;72;M;1;American;0;3;0;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
Henri Adrianus Termeer;ID;0;68;M;1;;9;14;8;;;;ALLERGAN INC (Quoted);Healthcare;Drug Manufacturers - Other
G (Steve) Steven Farris;ED;1;66;M;1;American;0;1;1;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Doctor Randolph M Ferlic;ID;0;77;M;1;American;1;4;4;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Eugene Charles Fiedorek;ID;0;83;M;1;American;0;2;0;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Adolphus Drewry Frazier Jr;ID;0;69;M;1;American;2;12;4;212;0,212;212;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Professor, Dr Patricia Albjerg Graham;ID;0;79;F;0;American;0;3;1;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Scott D Josey;ID;0;56;M;1;;0;4;2;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Chansoo  Joung;ID;0;54;M;1;American;2;3;3;204;0,204;204;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
John A Kocur;ID;0;87;M;1;American;0;5;0;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
George D Lawrence Jr;ID;0;64;M;1;American;1;3;1;212;0,212;212;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
John E Lowe;ID;0;55;M;1;American;3;6;4;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
William (Bill) C Montgomery;ID;0;53;M;1;;2;2;2;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Amy H Nelson;ID;0;45;F;0;;0;0;2;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Rodman (Rod) D Patton;ID;0;71;M;1;American;4;7;2;204;0,204;204;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Charles J Pitman;ID;0;72;M;1;;2;9;1;;;;APACHE CORP (Quoted);Basic Materials;Independent Oil & Gas
Nicholas (Nick) K Akins;ED;1;53;M;1;;2;2;8;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
David J Anderson;ID;0;65;M;1;American;3;3;2;150;0,15;150;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Sandra (Sandy)  Beach Lin;ID;0;56;F;0;American;8;10;3;72;0,072;72;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
James Barnie Beasley Jr;ID;0;63;M;1;;3;7;3;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
James F Cordes;ID;0;74;M;1;American;0;18;0;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Ralph Dozier Crosby Jr;ID;0;66;M;1;American;4;8;3;156;0,156;156;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Linda Ann Goodspeed;ID;0;53;F;0;;5;8;4;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Thomas (Tom) E Hoaglin;ID;0;65;M;1;American;6;10;2;161;0,161;161;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Michael (Mike) G Morris;ID;0;68;M;1;American;14;34;8;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Richard (Dick) C Notebaert;ID;0;67;M;1;American;9;17;6;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Lionel L Nowell III;ID;0;59;M;1;American;6;9;3;162;0,162;162;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Stephen (Steve) S Rasmussen;ID;0;62;M;1;American;3;3;5;19;0,019;19;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Oliver (Rick) G Richard III;ID;0;62;M;1;;7;11;8;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Doctor Richard Lawrence Sandor;ID;0;72;M;1;American;3;10;6;141;0,141;141;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Sara Martinez Tucker;ID;0;59;F;0;;7;8;4;236;0,236;236;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
John F Turner;ID;0;72;M;1;American;10;18;5;;;;AMERICAN ELECTRIC POWER CO INC (Quoted);Utilities;Electric Utilities
Michael (Micky) Meir Arison;ED;1;64;M;1;American;2;3;3;2,625;2,625;2625;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Arnold W Donald;ED;1;60;M;1;American;3;23;6;3,966;3,966;3966;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Admiral Sir Jonathon  Band;ID;0;64;M;1;British;2;2;6;133;0,133;133;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Pier Luigi Foschi;ID;0;67;M;1;Italian;0;0;0;;;;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Howard Stephen Frank;ID;0;72;M;1;American;2;7;5;;;;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Richard J Glasier;ID;0;68;M;1;American;6;12;2;171;0,171;171;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Debra J Kelly-Ennis;ID;0;57;F;0;American;7;10;6;133;0,133;133;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Sir Thomas (John)  Parker;ID;0;71;M;1;British;10;41;7;150;0,15;150;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Stuart S Subotnick;ID;0;72;M;1;American;6;12;7;167;0,167;167;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Laura A Weil;ID;0;57;F;0;American;4;4;3;153;0,153;153;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Randall (Randy) J Weisenburger;ID;0;56;M;1;American;8;10;4;152;0,152;152;CARNIVAL CORP (Quoted);Services;Resorts & Casinos
Ursula M Burns;ED;1;55;F;0;American;4;11;6;1,899;1,899;1899;XEROX CORP (Quoted);Technology;Information Technology Services
Glenn A Britt;ID;0;65;M;1;American;3;11;4;;;;XEROX CORP (Quoted);Technology;Information Technology Services
Richard (Dick) J Harrington;ID;0;68;M;1;American;4;6;7;133;0,133;133;XEROX CORP (Quoted);Technology;Information Technology Services
Professor, Dr William Curt Hunter;ID;0;66;M;1;American;107;131;8;;;;XEROX CORP (Quoted);Technology;Information Technology Services
Robert (Bob) J Keegan;ID;0;66;M;1;American;2;2;3;;;;XEROX CORP (Quoted);Technology;Information Technology Services
Robert (Bob) A McDonald;ID;0;60;M;1;American;2;2;4;;;;XEROX CORP (Quoted);Technology;Information Technology Services
Charles (Chuck) O Prince III;ID;0;64;M;1;American;4;7;4;121;0,121;121;XEROX CORP (Quoted);Technology;Information Technology Services
Ann Nolan Reese;ID;0;62;F;0;American;6;16;5;;;;XEROX CORP (Quoted);Technology;Information Technology Services
Sara Martinez Tucker;ID;0;59;F;0;;7;8;4;121;0,121;121;XEROX CORP (Quoted);Technology;Information Technology Services
Mary (Maggie) Agnes Wilderotter;ID;0;59;F;0;;3;27;5;;;;XEROX CORP (Quoted);Technology;Information Technology Services
Brian Leon Roberts;ED;1;54;M;1;American;0;4;4;22,382;22,382;22382;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Ralph J Roberts;ED;1;94;M;1;American;0;2;1;;;;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Kenneth J Bacon;ID;0;59;M;1;;3;4;3;;;;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Sheldon M Bonovitz;ID;0;76;M;1;American;1;6;2;151;0,151;151;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Edward (Ed) D Breen;ID;0;58;M;1;American;2;5;4;;;;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Joseph J Collins;ID;0;69;M;1;American;3;3;1;193;0,193;193;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Jay (Mike) Michael Cook;ID;0;71;M;1;American;3;27;2;174;0,174;174;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Gerald L Hassell;ID;0;62;M;1;American;4;5;3;;;;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Jeffrey A Honickman;ID;0;57;M;1;;2;2;4;176;0,176;176;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Eduardo G Mestre;ID;0;65;M;1;;3;3;4;164;0,164;164;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Johnathan Arlin Rodgers;ID;0;68;M;1;American;3;7;2;;;;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Professor, Dr Judith H Rodin;ID;0;69;F;0;American;4;22;7;;;;COMCAST CORP (AT&T Comcast Corp prior to 11/2002) (Quoted);Services;Entertainment - Diversified
Clifford W Illig;ED;1;64;M;1;;0;1;3;;;;CERNER CORP (Quoted);Technology;Healthcare Information Services
Neal L Patterson;ED;1;65;M;1;;0;1;1;;;;CERNER CORP (Quoted);Technology;Healthcare Information Services
Doctor Gerald E Bisbee Jr;ID;0;72;M;1;;3;8;3;189;0,189;189;CERNER CORP (Quoted);Technology;Healthcare Information Services
Doctor Denise A Cortese;ID;0;71;M;1;;5;6;8;180;0,18;180;CERNER CORP (Quoted);Technology;Healthcare Information Services
The Hon. John (Jack) Claggett Danforth;ID;0;77;M;1;American;2;14;2;175;0,175;175;CERNER CORP (Quoted);Technology;Healthcare Information Services
Governor Mitchell (Mitch) Elias Daniels Jr;ID;0;64;M;1;American;3;3;2;;;;CERNER CORP (Quoted);Technology;Healthcare Information Services
Linda M Dillman;ID;0;58;F;0;American;2;2;3;188;0,188;188;CERNER CORP (Quoted);Technology;Healthcare Information Services
Doctor William B Neaves;ID;0;71;M;1;American;3;5;4;187;0,187;187;CERNER CORP (Quoted);Technology;Healthcare Information Services
William (Bill) D Zollars;ID;0;67;M;1;;8;13;4;181;0,181;181;CERNER CORP (Quoted);Technology;Healthcare Information Services
Matthew (Matt) C Flanigan;ED;1;53;M;1;;3;4;2;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Karl G Glassman;ED;1;55;M;1;American;0;0;1;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
David (Dave) S Haffner;ED;1;62;M;1;American;2;3;2;6,669;6,669;6669;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Robert E Brunner;ID;0;57;M;1;;5;5;3;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Ralph W Clark;ID;0;74;M;1;American;1;3;1;111;0,111;111;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Robert G Culp III;ID;0;68;M;1;American;5;15;3;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Robert Ted Enloe III;ID;0;75;M;1;;4;8;4;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Richard T Fisher;ID;0;76;M;1;American;3;5;2;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Joseph (Joe) W McClanathan;ID;0;62;M;1;American;3;4;2;120;0,12;120;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Judy C Odom;ID;0;62;F;0;American;4;8;2;126;0,126;126;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Maurice E Purnell Jr;ID;0;74;M;1;American;0;3;0;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
Phoebe A Wood;ID;0;61;F;0;American;10;12;7;;;;LEGGETT & PLATT INC (Quoted);Consumer Goods;Home Furnishings & Fixtures
John (Jack) P Barnes;ED;1;59;M;1;American;2;3;2;3,269;3,269;3269;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Kirk W Walters;ED;1;58;M;1;American;1;1;2;1,836;1,836;1836;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Collin P Baron;ID;0;66;M;1;;2;3;3;108;0,108;108;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Kevin T Bottomley;ID;0;62;M;1;;1;2;2;101;0,101;101;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
George P Carter;ID;0;78;M;1;;3;4;3;228;0,228;228;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
John Kingston Dwight;ID;0;70;M;1;American;2;4;3;106;0,106;106;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Jerry  Franklin;ID;0;67;M;1;;2;4;3;116;0,116;116;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Janet M Hansen;ID;0;72;F;0;;3;5;1;113;0,113;113;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Richard M Hoyt;ID;0;72;M;1;;1;2;4;45;0,045;45;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Nancy Alexandra McAllister;ID;0;55;F;0;American;3;3;3;8;0,008;8;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
Mark W Richards;ID;0;69;M;1;American;2;4;4;111;0,111;111;PEOPLE'S UNITED FINANCIAL INC (Quoted);Financial;Savings & Loans
John (Jack) J Koraleski;ED;1;63;M;1;American;0;0;3;3,885;3,885;3885;UNION PACIFIC CORP (Quoted);Services;Railroads
James (Jim) R Young;ED;1;62;M;1;American;0;0;0;;;;UNION PACIFIC CORP (Quoted);Services;Railroads
The Hon. Andrew (Andy) Hill Card Jr;ID;0;66;M;1;American;3;4;6;161;0,161;161;UNION PACIFIC CORP (Quoted);Services;Railroads
Erroll Brown Davis Jr;ID;0;69;M;1;American;5;24;4;164;0,164;164;UNION PACIFIC CORP (Quoted);Services;Railroads
Doctor Thomas (Tom) J Donohue Jr;ID;0;76;M;1;American;2;20;4;;;;UNION PACIFIC CORP (Quoted);Services;Railroads
Archie Wallace Dunham;ID;0;75;M;1;American;6;21;8;155;0,155;155;UNION PACIFIC CORP (Quoted);Services;Railroads
Judith (Judy) Coleman Hope;ID;0;73;F;0;American;4;13;7;;;;UNION PACIFIC CORP (Quoted);Services;Railroads
General Charles (Chuck) Chandler Krulak;ID;0;72;M;1;American;4;12;4;161;0,161;161;UNION PACIFIC CORP (Quoted);Services;Railroads
Michael (Mike) R McCarthy;ID;0;62;M;1;;4;7;7;161;0,161;161;UNION PACIFIC CORP (Quoted);Services;Railroads
Michael W McConnell;ID;0;72;M;1;American;2;6;1;170;0,17;170;UNION PACIFIC CORP (Quoted);Services;Railroads
Thomas (Mack) F McLarty III;ID;0;67;M;1;American;2;7;8;155;0,155;155;UNION PACIFIC CORP (Quoted);Services;Railroads
Steven (Steve) R Rogel;ID;0;71;M;1;American;4;15;2;;;;UNION PACIFIC CORP (Quoted);Services;Railroads
José H Villarreal;ID;0;60;M;1;American;2;13;4;179;0,179;179;UNION PACIFIC CORP (Quoted);Services;Railroads
James (Jim) R Young;ID;0;62;M;1;American;0;0;0;;;;UNION PACIFIC CORP (Quoted);Services;Railroads
John A Bryant;ED;1;48;M;1;;1;1;2;9,04;9,04;9040;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
James (Jim) M Jenness;ED;1;67;M;1;American;2;10;2;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Doctor Stephanie Ann Burns;ID;0;59;F;0;American;7;10;4;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Doctor Benjamin (Ben) Solomon Carson Sr;ID;0;62;M;1;American;4;8;5;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
John T Dillon;ID;0;75;M;1;American;9;26;5;158;0,158;158;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Gordon  Gund;ID;0;74;M;1;American;4;12;4;156;0,156;156;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Dorothy A Johnson;ID;0;74;F;0;American;0;9;4;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Donald (Don) R Knauss;ID;0;62;M;1;;6;6;4;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
The Hon. Ann D Korologos;ID;0;72;F;0;American;10;47;5;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Mary A Laschinger;ID;0;54;F;0;;2;2;4;62;0,062;62;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Cynthia Hardin Milligan;ID;0;67;F;0;American;8;14;8;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Rogelio M Rebolledo Rojas;ID;0;69;M;1;American;5;13;2;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Sterling K Speirn;ID;0;66;M;1;;0;3;0;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
La June Montgomery Tabron;ID;0;;F;0;;0;0;4;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Doctor John L Zabriskie;ID;0;75;M;1;;0;18;8;;;;KELLOGG CO (Quoted);Consumer Goods;Processed & Packaged Goods
Martin  Mucci;ED;1;55;M;1;American;3;4;3;6,399;6,399;6399;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Joseph (Joe) G Doody;ID;0;61;M;1;American;2;2;3;445;0,445;445;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
David J Flaschen;ID;0;58;M;1;American;3;5;7;466;0,466;466;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Blaise (Tom) Thomas Golisano;ID;0;72;M;1;American;1;3;2;156;0,156;156;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Phillip  Horsley;ID;0;75;M;1;American;2;6;2;447;0,447;447;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Grant M Inman;ID;0;72;M;1;American;5;16;7;453;0,453;453;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Pamela A Joseph;ID;0;56;F;0;American;4;4;6;448;0,448;448;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Joseph (Joe) M Tucci;ID;0;66;M;1;American;4;7;7;452;0,452;452;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Joseph M Velli;ID;0;54;M;1;American;5;5;5;450;0,45;450;PAYCHEX INC (Quoted);Services;Staffing & Outsourcing Services
Roger N Farah;ED;1;61;M;1;;4;8;6;17,075;17,075;17075;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Ralph  Lauren;ED;1;74;M;1;American;0;1;1;29,3;29,3;29300;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
David  Lauren;ED;1;42;M;1;;0;0;1;;;;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Jackwyn L Nemerov;ED;1;62;F;0;;0;0;1;;;;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
John R Alchin;ID;0;66;M;1;;1;1;3;105;0,105;105;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Arnold H Aronson;ID;0;80;M;1;American;2;2;2;108;0,108;108;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Frank Anthony Bennack Jr;ID;0;81;M;1;American;2;11;5;127;0,127;127;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Professor, Dr Joyce F Brown;ID;0;67;F;0;American;2;12;4;99;0,099;99;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Professor Joel Lawrence Fleishman;ID;0;79;M;1;American;2;12;3;115;0,115;115;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Hubert  Joly;ID;0;55;M;1;French;1;2;2;110;0,11;110;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Judith A McHale;ID;0;67;F;0;American;6;17;6;49;0,049;49;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Steven Pleshette Murphy;ID;0;60;M;1;;1;3;2;115;0,115;115;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Robert (Bob) Charles Wright;ID;0;71;M;1;American;2;4;6;99;0,099;99;RALPH LAUREN CORP (Polo Ralph Lauren Corp prior to 08/2011) (Quoted);Consumer Goods;Textile - Apparel Clothing
Daniel (Dan) Wayne Rabun;ED;1;59;M;1;;0;0;1;5,849;5,849;5849;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
David A Brown;ID;0;70;M;1;American;5;17;4;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
James (Rod) Roderick Clark;ID;0;63;M;1;;1;5;4;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Doctor Roxanne Jean Decyk;ID;0;61;F;0;American;6;15;5;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Mary Elizabeth Francis;ID;0;65;F;0;British;4;24;5;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
C (Cris) Christopher Gaut;ID;0;57;M;1;American;1;2;3;191;0,191;191;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Gerald W Haddock;ID;0;67;M;1;American;5;6;6;195;0,195;195;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Francis (Frank) S Kalman;ID;0;67;M;1;;6;10;7;191;0,191;191;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Thomas (Tad) Lloyd Kelly II;ID;0;55;M;1;American;0;6;8;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Keith O Rattie;ID;0;61;M;1;;1;3;4;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Professor, Dr Rita M Rodriguez;ID;0;71;F;0;;6;11;4;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Doctor Paul Edward Rowsey III;ID;0;60;M;1;American;1;2;7;;;;ENSCO PLC (Ensco International PLC prior to 03/2010) (Quoted);Basic Materials;Oil & Gas Drilling & Exploration
Thomas (Tom)  Georgens;ED;1;54;M;1;American;3;4;3;6,802;6,802;6802;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Daniel (Dan) J Warmenhoven;ED;1;63;M;1;American;5;10;4;318;318;318000;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Jeffry (Jeff) R Allen;ID;0;62;M;1;American;4;9;3;175;0,175;175;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Tor R Braham;ID;0;56;M;1;;0;0;2;;;;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Alan L Earhart;ID;0;70;M;1;American;4;16;4;203;0,203;203;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Doctor Gerald (Jerry) D Held;ID;0;66;M;1;American;4;16;8;191;0,191;191;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Kathryn (Kathy) M Hill;ID;0;58;F;0;;3;3;2;;;;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Nicholas (Nick) G Moore;ID;0;72;M;1;American;4;17;4;251;0,251;251;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
T (Mike) Michael Nevens;ID;0;65;M;1;;5;11;7;219;0,219;219;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
George T Shaheen;ID;0;69;M;1;American;5;9;8;191;0,191;191;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Robert T Wall;ID;0;69;M;1;American;3;11;2;219;0,219;219;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
Richard (Rick) P Wallace;ID;0;54;M;1;American;1;2;2;191;0,191;191;NETAPP INC (Network Appliance Inc prior to 03/2008) (Quoted);Technology;Data Storage Devices
John  McAdam;ED;1;63;M;1;American;2;2;3;4,96;4,96;4960;F5 NETWORKS INC (Quoted);Technology;Business Software & Services
A Gary Ames;ID;0;69;M;1;American;3;28;2;173;0,173;173;F5 NETWORKS INC (Quoted);Technology;Business Software & Services
Sandra England Bergeron;ID;0;55;F;0;American;4;6;4;168;0,168;168;F5 NETWORKS INC (Quoted);Technology;Business Software & Services
Deborah (Debbie) L Bevier;ID;0;62;F;0;American;4;11;3;167;0,167;167;F5 NETWORKS INC (Quoted);Technology;Business Software & Services
Jonathan C Chadwick;ID;0;48;M;1;;1;2;2;491;0,491;491;F5 NETWORKS INC (Quoted);Technology;Business Software & Services
